h3_index,borough,latitude,longitude,predicted_prob_cafe,population,level4_perc,age_16_to_34_perc,employed_total_perc,n_restaurant,n_gym,n_station,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,nearby_cafe
89194ad0e53ffff,Lewisham,51.42651366253579,-0.049627450167663206,0.9898347,749.3687133789062,51.68530702897474,24.336564108293757,62.65088207985146,4,1,0,0.006882669036026795,0.017135597167556266,0.007865674861121297,5.9213116739668365e-05,8
89194ac2643ffff,Croydon,51.38407743425321,-0.10672074438945034,0.9892018,1357.832763671875,0.0,0.0,0.0,3,0,0,0.00468121514326658,0.015438275750692457,0.007865674861121297,5.9213116739668365e-05,7
89195da696fffff,Islington,51.54098403426815,-0.0965690481252029,0.98602456,1233.7689208984375,62.79122746367407,44.44317079562253,65.66068515497554,4,0,1,0.008514238320791841,0.01863340335945678,0.007865674861121297,5.9213116739668365e-05,42
89195da4e63ffff,Camden,51.539228543790735,-0.19192895697092477,0.98331904,1232.01953125,58.08240234358387,38.3900957451046,60.3021536483446,2,0,1,0.007367147885611175,0.01811318656197394,0.007865674861121297,5.9213116739668365e-05,12
89195da6aa7ffff,Islington,51.5608822812551,-0.12486861292366414,0.9822175,1037.38037109375,63.78495065118966,34.368118961268486,65.92885375494068,4,0,0,0.007635271301183019,0.018045861730198703,0.007865674861121297,5.9213116739668365e-05,39
89195da4067ffff,Barnet,51.57339692846789,-0.19812739035932292,0.98174435,615.9187622070312,53.61351332488321,31.957877106292198,58.156642146257035,6,0,0,0.006084567036723571,0.016980052570401093,0.007865674861121297,5.9213116739668365e-05,6
89195da6267ffff,Barnet,51.61156473410493,-0.1749119598875487,0.9804952,692.2504272460938,0.0,0.0,0.0,3,1,0,0.003753237330194812,0.015519065271072321,0.007865674861121297,5.9213116739668365e-05,19
89194ac2283ffff,Croydon,51.3685534681113,-0.09822872187701592,0.9804319,1234.5445556640625,0.0,0.0,0.0,9,0,0,0.0037254536484761756,0.014711788911369133,0.007865674861121297,5.9213116739668365e-05,35
89194ada29bffff,Hounslow,51.49425493685725,-0.2461324045984534,0.9796673,768.1658935546875,63.12973403408187,30.95777231230982,68.78881987577637,3,0,1,0.00794799193377221,0.017141198218287506,0.007865674861121297,5.9213116739668365e-05,19
89194ad228fffff,Tower Hamlets,51.499494449641375,-0.01864774900366125,0.97946715,2379.8720703125,72.36392163014344,55.83515278179958,71.72428068722832,4,3,0,0.008211857933358444,0.018178412472347673,0.007865674861121297,5.9213116739668365e-05,43
89194ad72cbffff,Bromley,51.395486564897894,0.02550733557257744,0.97757053,617.7363891601562,48.91428322464498,27.71421403011441,65.62942008486559,2,1,0,0.005146817421621842,0.01489865373839535,0.007865674861121297,5.9213116739668365e-05,2
89194ad04abffff,Lewisham,51.47517583305968,-0.028982183951946305,0.97726226,1110.3009033203125,51.65876753456012,42.37222226363203,58.650707290533205,2,1,0,0.007790500834397421,0.018198199427104433,0.007865674861121297,5.9213116739668365e-05,38
89194e6d66fffff,Greenwich,51.49254574307093,0.062299386399534334,0.97690225,1540.1707763671875,46.4220950071664,39.8143975751044,63.777490297542066,2,1,0,0.006460037146692815,0.01612598250380912,0.007865674861121297,5.9213116739668365e-05,9
89194ada5cfffff,Kensington and Chelsea,51.494134196085014,-0.19236012352528153,0.97684115,1871.73828125,63.50133777211492,43.766129642601285,56.79302247567928,13,0,0,0.008874110961009603,0.01837128141941011,0.007865674861121297,5.9213116739668365e-05,30
89195da6937ffff,Hackney,51.541828551463645,-0.07809718111438037,0.97659826,864.8716430664062,58.84875288851304,37.053444324653896,63.52118252606575,7,0,0,0.008324945388815107,0.018480133319631713,0.007865674861121297,5.9213116739668365e-05,27
89194e6d29bffff,Greenwich,51.490028918383565,0.06524417013271151,0.9762689,2352.2080078125,56.82601042266655,47.42592328968866,67.95977011494253,2,1,0,0.006383386093057133,0.016036178799892158,0.007865674861121297,5.9213116739668365e-05,8
89194ad323bffff,Lambeth,51.50596664913199,-0.10890256073057335,0.975195,1857.843505859375,47.4523205529186,35.75821250802278,54.277088225427725,2,0,0,0.00857286529876767,0.019180746169432165,0.007865674861121297,5.9213116739668365e-05,77
89194ad104bffff,Wandsworth,51.4748888689768,-0.15020851099478544,0.9747732,1243.915771484375,50.296378154879086,38.14894235736746,61.315280464216634,2,0,0,0.008999236191616274,0.018694506630664083,0.007865674861121297,5.9213116739668365e-05,23
